query,seed ortholog,evalue,score,predicted name,GO terms,KEGG KO,BiGG reactions,tax scope,eggNOGs,best Ogs,COG Cat.,eggNOG HMM Desc.
WP_004045354.1,309800.HVO_0239,3.10E-265,919.1,GLNA,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01915,,arNOG[11],"0KRT7@eurNOG,0RF70@halNOG,COG0174@NOG,arCOG01909@arNOG",NA|NA|NA,E,glutamine synthetase
WP_004044435.1,309800.HVO_0486,9.80E-147,524.6,NUCS,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K07503,,arNOG[11],"0KRTM@eurNOG,0RFP6@halNOG,COG1637@NOG,arCOG01304@arNOG",NA|NA|NA,L,Cleaves both 3' and 5' ssDNA extremities of branched DNA structures (By similarity)
WP_004044153.1,309800.HVO_0784,8.90E-177,624.8,,,K07052,,arNOG[11],"0KZAF@eurNOG,0RH3T@halNOG,0YK0R@NOG,arCOG02770@arNOG",NA|NA|NA,S,Abortive infection protein
WP_004043556.1,309800.HVO_1383,5.10E-134,482.3,TRMI,,K07442,,arNOG[11],"0KRJ8@eurNOG,0RFBH@halNOG,COG2519@NOG,arCOG00978@arNOG",NA|NA|NA,J,Methyltransferase
WP_004043178.1,426117.M446_5785,1.20E-38,167.5,,,,,bactNOG[38],"01SY2@aproNOG,05IB0@bactNOG,16RWH@proNOG,COG3210@NOG",NA|NA|NA,M,family outer membrane protein
WP_004041117.1,485914.Hmuk_1821,4.10E-138,496.5,,,"K02017,K10112,K15497",,arNOG[11],"0KRE9@eurNOG,0RFQ8@halNOG,COG3839@NOG,arCOG00175@arNOG",NA|NA|NA,G,ABC transporter
WP_004044591.1,309800.HVO_0332,5.20E-91,339,,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K19664,,arNOG[11],"0KTBS@eurNOG,0RH24@halNOG,COG0575@NOG,arCOG04106@arNOG",NA|NA|NA,I,UPF0290 protein
WP_004043038.1,309800.HVO_2795,3.20E-136,489.6,,,,,arNOG[11],"0KT5S@eurNOG,0RG0A@halNOG,COG0454@NOG,arCOG00831@arNOG",NA|NA|NA,K,(gnat) family
WP_004042485.1,309800.HVO_2510,1.30E-174,617.5,,,,,arNOG[11],"0KVD2@eurNOG,0RFUM@halNOG,COG0454@NOG,arCOG00845@arNOG",NA|NA|NA,K,Gnat family acetyltransferase
WP_004042317.1,309800.HVO_2427,1.10E-273,947.2,RFCL,,K04800,,arNOG[11],"0KRTT@eurNOG,0RFP1@halNOG,COG0470@NOG,arCOG00470@arNOG",NA|NA|NA,L,Part of the RFC clamp loader complex which loads the PCNA sliding clamp onto DNA (By similarity)
WP_004042213.1,309800.HVO_2321,2.40E-252,876.3,DNAG,,K02316,,arNOG[11],"0KRQ2@eurNOG,0RFQN@halNOG,COG0358@NOG,arCOG04281@arNOG",NA|NA|NA,L,UPF0095 protein
WP_004041985.1,309800.HVO_2102,3.20E-81,306.2,,,,,arNOG[11],"COG1762@NOG,arCOG10195@arNOG",NA|NA|NA,G,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2"
WP_004041851.1,309800.HVO_1972,1.00E-114,417.9,,,,,arNOG[11],"0KZ9U@eurNOG,0RHWI@halNOG,COG0454@NOG,arCOG00826@arNOG",NA|NA|NA,K,(gnat) family
WP_004041704.1,309800.HVO_1821,3.50E-103,379.4,,,K03825,,arNOG[11],"0KTMR@eurNOG,0RH6D@halNOG,COG0454@NOG,arCOG00834@arNOG",NA|NA|NA,K,GCN5-related N-acetyltransferase
WP_004041559.1,309800.HVO_1669,5.00E-120,435.6,FLPA,,K04795,,arNOG[11],"0KTBJ@eurNOG,0RFJI@halNOG,COG1889@NOG,arCOG00078@arNOG",NA|NA|NA,J,Involved in pre-rRNA and tRNA processing. Utilizes the methyl donor S-adenosyl-L-methionine to catalyze the site-specific 2'-hydroxyl methylation of ribose moieties in rRNA and tRNA. Site specificity is provided by a guide RNA that base pairs with the substrate. Methylation occurs at a characteristic distance from the sequence involved in base pairing with the guide RNA (By similarity)
WP_004041636.1,309800.HVO_1753,3.60E-26,122.1,,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K07213,,arNOG[11],"0M199@eurNOG,0RI9P@halNOG,COG2608@NOG,arCOG02764@arNOG",NA|NA|NA,P,heavy metal transport detoxification protein
WP_013035492.1,309800.HVO_0853,4.20E-243,845.5,MRE11,,"K01893,K06915",,arNOG[11],"0KS7S@eurNOG,0RFW4@halNOG,COG0420@NOG,arCOG00397@arNOG",NA|NA|NA,L,"Involved in DNA double-strand break repair (DSBR). The Rad50 Mre11 complex possesses single-strand endonuclease activity and ATP-dependent double-strand-specific 3'-5' exonuclease activity (By similarity). In polyploid organisms, the Rad50 Mre11 complex appears to restrain the repair of double-strand breaks by homologous recombination, allowing another pathway to act as the primary mode of repair"
WP_004045271.1,309800.HVO_0158,9.90E-101,371.3,TBP,,K03120,,arNOG[11],"0KT4V@eurNOG,0RFUU@halNOG,COG2101@NOG,arCOG01764@arNOG",NA|NA|NA,K,General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation (By similarity)
WP_004045235.1,309800.HVO_0123,4.50E-256,888.6,SRP54,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03106,,arNOG[11],"0KR9C@eurNOG,0RG20@halNOG,COG0541@NOG,arCOG01228@arNOG",NA|NA|NA,U,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY (By similarity)
WP_004044825.1,309800.HVO_2961,1.10E-268,930.6,PDHD,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464","K00382,K00383",,arNOG[11],"0KRZJ@eurNOG,0RFEZ@halNOG,COG1249@NOG,arCOG01068@arNOG",NA|NA|NA,C,dihydrolipoamide dehydrogenase
WP_004044805.1,309800.HVO_2952,5.60E-195,685.3,ENDA,,K01170,,arNOG[11],"0KTIF@eurNOG,0RFKU@halNOG,COG1676@NOG,arCOG01701@arNOG",NA|NA|NA,J,"Endonuclease that removes tRNA introns. Cleaves pre-tRNA at the 5' and 3' splice sites to release the intron. The products are an intron and two tRNA half-molecules bearing 2',3' cyclic phosphate and 5'-OH termini. Recognizes a pseudosymmetric substrate in which 2 bulged loops of 3 bases are separated by a stem of 4 bp (By similarity)"
WP_004044606.1,309800.HVO_0317,4.00E-268,928.7,ATPB,,K02118,ATPS4r,arNOG[11],"0KRFX@eurNOG,0RG70@halNOG,COG1156@NOG,arCOG00865@arNOG",NA|NA|NA,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The archaeal beta chain is a regulatory subunit (By similarity)
WP_004044412.1,309800.HVO_0511,7.40E-155,551.6,,,K19243,,arNOG[11],"0M0DH@eurNOG,0RFVX@halNOG,COG0451@NOG,arCOG04704@arNOG",NA|NA|NA,M,NAD-dependent epimerase dehydratase
WP_004044375.1,309800.HVO_0558,5.50E-153,545.4,MOEB,,K11996,,arNOG[11],"0KS4R@eurNOG,0RG30@halNOG,COG0476@NOG,arCOG01676@arNOG",NA|NA|NA,H,UBA THIF-type NAD FAD binding protein
WP_004043963.1,309800.HVO_0980,0,1140.9,NUOD,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944","K00333,K13378",,arNOG[11],"0KS1A@eurNOG,0RGG0@halNOG,COG0649@NOG,COG0852@NOG,arCOG01547@arNOG,arCOG01548@arNOG",NA|NA|NA,C,NADH-ubiquinone oxidoreductase chain 49kDa
WP_004043866.1,309800.HVO_1072,4.90E-100,369,HPT,"GO:0003674,GO:0003824,GO:0004422,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006144,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009113,GO:0009987,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0034641,GO:0034654,GO:0042440,GO:0043094,GO:0043096,GO:0043101,GO:0043103,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046100,GO:0046101,GO:0046112,GO:0046148,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",K00759,"ADPT,GUAPRT",arNOG[11],"0KSZJ@eurNOG,0RGKH@halNOG,COG0503@NOG,arCOG00030@arNOG",NA|NA|NA,F,"May catalyze a purine salvage reaction, the substrate is"
WP_004043644.1,309800.HVO_1295,2.00E-206,723.4,HISC,,K00817,HSTPT,arNOG[11],"0KRR1@eurNOG,0RFSD@halNOG,COG0079@NOG,arCOG04273@arNOG",NA|NA|NA,E,Imidazole acetol-phosphate transaminase
WP_004043441.1,309800.HVO_1494,2.70E-186,656.4,,,K01624,,arNOG[11],"0KUI4@eurNOG,0RG88@halNOG,COG0191@NOG,arCOG07500@arNOG",NA|NA|NA,G,aldolase
WP_004043438.1,309800.HVO_1497,4.20E-41,172.2,,,K11189,,arNOG[11],"0M0G9@eurNOG,0RI6Q@halNOG,COG1925@NOG,arCOG04543@arNOG",NA|NA|NA,G,phosphocarrier protein Hpr
WP_004043129.1,519442.Huta_1451,1.70E-113,416,,,"K07012,K07475",,arNOG[11],"0KS4F@eurNOG,0RFYJ@halNOG,COG1203@NOG,arCOG01445@arNOG",NA|NA|NA,V,Helicase
WP_004042652.1,309800.HVO_2583,6.00E-212,741.9,HMGA,,"K00021,K00054",HMGCOARi,arNOG[11],"0KREN@eurNOG,0RFCV@halNOG,COG1257@NOG,arCOG04260@arNOG",NA|NA|NA,I,3-hydroxy-3-methylglutaryl coenzyme A reductase
WP_004041946.1,309800.HVO_2061,4.30E-234,815.5,NFED,,"K00786,K07403",,arNOG[11],"0KS61@eurNOG,0RG7H@halNOG,COG0463@NOG,arCOG00894@arNOG,arCOG01910@arNOG",NA|NA|NA,M,dolichyl-P-glucose synthetase
WP_004041945.1,309800.HVO_2060,2.00E-86,323.6,,,K03207,,arNOG[11],"02TVJ@arNOG,0M15D@eurNOG,0RHYP@halNOG,COG0494@NOG",NA|NA|NA,L,NUDIX domain
WP_004041939.1,309800.HVO_2055,8.70E-247,857.8,,,,,arNOG[11],"0KRAN@eurNOG,0RG2F@halNOG,COG2244@NOG,arCOG02209@arNOG",NA|NA|NA,M,Polysaccharide biosynthesis protein
WP_004041935.1,309800.HVO_2049,1.80E-176,623.6,,,K07011,,arNOG[11],"COG1216@NOG,arCOG01383@arNOG",NA|NA|NA,M,glycosyl transferase family 2
WP_004041854.1,309800.HVO_1975,1.30E-144,517.7,SECF,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K03074,,arNOG[11],"0KRNM@eurNOG,0RGA4@halNOG,COG0341@NOG,arCOG03054@arNOG",NA|NA|NA,U,Involved in protein export (By similarity)
WP_004041720.1,309800.HVO_1830,9.30E-170,601.3,GND,,K00033,,arNOG[11],"0KTHN@eurNOG,0RG45@halNOG,COG1023@NOG,arCOG00248@arNOG",NA|NA|NA,G,6-phosphogluconate dehydrogenase
WP_004041505.1,309800.HVO_1613,9.70E-127,458,GST,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944","K00721,K00786",,arNOG[11],"0KS61@eurNOG,0RFW9@halNOG,COG0463@NOG,arCOG00894@arNOG",NA|NA|NA,M,glycosyl transferase family 2
WP_004041409.1,309800.HVO_1531,2.30E-238,829.7,UGD,,K00012,UDPGD,arNOG[11],"0KRJB@eurNOG,0RFCE@halNOG,COG1004@NOG,arCOG00253@arNOG",NA|NA|NA,M,ec 1.1.1.22
WP_004041407.1,309800.HVO_1529,4.20E-181,639,AGLG,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",,,arNOG[11],"0KY02@eurNOG,0RFSM@halNOG,COG0463@NOG,arCOG01387@arNOG",NA|NA|NA,M,glycosyl transferase family 2
WP_004041399.1,309800.HVO_1522,5.80E-130,468.8,,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",,,arNOG[11],"0KVB6@eurNOG,0RHPV@halNOG,COG0500@NOG,arCOG01402@arNOG",NA|NA|NA,Q,FkbM family methyltransferase
WP_004041122.1,797209.ZOD2009_18689,9.90E-80,302,,,K19660,,arNOG[11],"0KYHY@eurNOG,0RGRU@halNOG,COG0451@NOG,arCOG04704@arNOG",NA|NA|NA,M,NAD-dependent epimerase dehydratase
WP_013035699.1,309800.HVO_2252,7.00E-226,788.1,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035670.1,309800.HVO_2252,1.00E-224,784.3,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035579.1,309800.HVO_2820,2.80E-227,792.7,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035466.1,309800.HVO_1782,1.70E-227,793.5,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035323.1,309800.HVO_2466,1.40E-226,790.4,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035321.1,309800.HVO_1519,1.10E-226,790.8,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035295.1,309800.HVO_1845,2.80E-227,792.7,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035197.1,309800.HVO_2252,1.60E-225,786.9,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035082.1,309800.HVO_2054,1.40E-226,790.4,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035069.1,309800.HVO_2331,1.20E-225,787.3,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035066.1,309800.HVO_0926,1.80E-226,790,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013035043.1,634497.HAH_4162,3.90E-108,396.7,CAS1,,K15342,,arNOG[11],"0KRR3@eurNOG,0RGJT@halNOG,COG1518@NOG,arCOG01452@arNOG",NA|NA|NA,V,"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. May be involved in the integration of spacer DNA into the CRISPR cassette (By similarity)"
WP_013035042.1,309800.HVO_1845,4.10E-226,788.9,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_013034990.1,309800.HVO_0926,3.00E-221,772.7,HLAC_1757,,K07495,,arNOG[11],"0KTV7@eurNOG,0RFIV@halNOG,COG3385@NOG,arCOG06160@arNOG",NA|NA|NA,L,Transposase
WP_004045297.1,309800.HVO_0183,1.60E-124,450.7,,,K09125,,arNOG[11],"0KUEQ@eurNOG,0RFTC@halNOG,COG1738@NOG,arCOG04284@arNOG",NA|NA|NA,S,"Uncharacterized ACR, YhhQ family COG1738"
WP_004044499.1,309800.HVO_0425,1.20E-175,620.9,,,K07104,,arNOG[11],"0M12J@eurNOG,0RF75@halNOG,COG2514@NOG,arCOG06106@arNOG",NA|NA|NA,E,glyoxalase bleomycin resistance protein dioxygenase
WP_004042252.1,309800.HVO_2363,5.60E-145,518.8,PPNK,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00858,NADK,arNOG[11],"0KS11@eurNOG,0RFWJ@halNOG,COG0061@NOG,arCOG01348@arNOG",NA|NA|NA,H,Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)
WP_004041608.1,309800.HVO_1718,9.20E-84,314.7,QUED,,K01737,,arNOG[11],"0KV6V@eurNOG,0RH2P@halNOG,COG0720@NOG,arCOG02172@arNOG",NA|NA|NA,H,synthase
WP_004042997.1,309800.HVO_2753,8.30E-30,134,GYY_07830,,K07580,,arNOG[11],"0KV4Z@eurNOG,0RI36@halNOG,COG2888@NOG,arCOG01989@arNOG",NA|NA|NA,J,zn-ribbon RNA-binding protein
WP_049914710.1,1036673.KNP414_07814,2.90E-94,351.3,,"GO:0005575,GO:0005576",K01213,,bactNOG[38],"04RZ1@bacNOG,05E4I@bactNOG,0NDU3@firmNOG,COG5434@NOG",NA|NA|NA,M,glycoside hydrolase family protein
WP_004041540.1,309800.HVO_1649,3.40E-223,779.2,MAT,,"K00150,K00789",METAT,arNOG[11],"0KRT5@eurNOG,0RFAJ@halNOG,COG1812@NOG,arCOG01678@arNOG",NA|NA|NA,E,Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity)
WP_004041352.1,290398.Csal_0199,8.10E-63,245.7,YGEA,,K01779,ASPR,bactNOG[38],"05CG9@bactNOG,0QK2P@gproNOG,16PWQ@proNOG,COG1794@NOG",NA|NA|NA,E,aspartate racemase
WP_013035481.1,309800.HVO_1069,0,1506.5,MRPA,,"K00341,K05565,K12139",,arNOG[11],"0KS6Y@eurNOG,0RFE6@halNOG,COG1009@NOG,arCOG01539@arNOG,arCOG03077@arNOG",NA|NA|NA,C,NADH Ubiquinone plastoquinone (Complex I)
WP_004044613.1,309800.HVO_0310,2.90E-44,183,ATPH,,K02107,ATPS4r,arNOG[11],"0KURH@eurNOG,0RJTN@halNOG,COG2811@NOG,arCOG03363@arNOG",NA|NA|NA,C,Inherit from eurNOG: V-type H -transporting ATPase subunit E
WP_004044270.1,309800.HVO_0665,7.60E-175,618.2,,,K03146,,arNOG[11],"0KRE4@eurNOG,0RG72@halNOG,COG1635@NOG,arCOG00574@arNOG",NA|NA|NA,G,"Catalyzes the conversion of ribose 1,5-bisphosphate to ribulose 1,5-bisphosphate (RuBP), the CO(2) acceptor and substrate for RubisCO (By similarity)"
WP_004044226.1,309800.HVO_0710,1.70E-288,996.5,TRPE,,K01657,,arNOG[11],"0KRYD@eurNOG,0RF93@halNOG,COG0147@NOG,arCOG02014@arNOG",NA|NA|NA,E,synthase component I
WP_004043010.1,309800.HVO_2763,3.50E-138,496.1,,,K00784,,arNOG[11],"0KRT3@eurNOG,0RFCH@halNOG,COG1234@NOG,arCOG00500@arNOG",NA|NA|NA,S,beta-lactamase domain protein
WP_004045279.1,309800.HVO_0165,9.40E-240,834.3,MTAD,,K12960,,arNOG[11],"0KRC1@eurNOG,0RF5D@halNOG,COG0402@NOG,arCOG00695@arNOG",NA|NA|NA,F,"Catalyzes the deamination of 5-methylthioadenosine and S-adenosyl-L-homocysteine into 5-methylthioinosine and S-inosyl-L- homocysteine, respectively. Is also able to deaminate adenosine (By similarity)"
WP_004044665.1,309800.HVO_2847,1.90E-251,873.2,,,K09786,,arNOG[11],"0M0XV@eurNOG,0RGN3@halNOG,COG2718@NOG,arCOG04631@arNOG",NA|NA|NA,S,Protein of unknown function (DUF444)
WP_004044360.1,309800.HVO_0573,5.00E-168,595.5,NFO,,K01151,,arNOG[11],"0KRBS@eurNOG,0RF4W@halNOG,COG0648@NOG,arCOG01894@arNOG",NA|NA|NA,L,Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic sites (AP sites) to produce new 5'-ends that are base-free deoxyribose 5-phosphate residues. It preferentially attacks modified AP sites created by bleomycin and neocarzinostatin (By similarity)
WP_004043861.1,309800.HVO_1077,1.70E-134,483.8,GYY_01760,,K01953,,arNOG[11],"0KT1W@eurNOG,0RF8B@halNOG,COG2102@NOG,arCOG00035@arNOG",NA|NA|NA,S,ATP- binding protein
WP_004043653.1,309800.HVO_1286,6.00E-141,505.4,ARAL1,,"K01101,K02566",,arNOG[11],"0KTFA@eurNOG,0RGZ7@halNOG,COG0647@NOG,arCOG04221@arNOG",NA|NA|NA,G,"HAD-superfamily hydrolase, subfamily IIA"
WP_004040871.1,634497.HAH_4358,3.60E-44,183,PAAI,,K02614,,arNOG[11],"0KTI1@eurNOG,0RI7I@halNOG,COG2050@NOG,arCOG00777@arNOG",NA|NA|NA,Q,Phenylacetic acid degradation protein PaaI
WP_004042643.1,309800.HVO_2579,6.90E-140,501.9,NADC,,K00767,NNDPR,arNOG[11],"0KS0U@eurNOG,0RF68@halNOG,COG0157@NOG,arCOG01482@arNOG",NA|NA|NA,H,nicotinate-nucleotide pyrophosphorylase (EC 2.4.2.19)
WP_013034939.1,634497.HAH_4460,6.40E-158,562.8,,,K02035,,arNOG[11],"0KSD3@eurNOG,0RHM9@halNOG,COG0747@NOG,arCOG01534@arNOG",NA|NA|NA,E,ABC transporter
WP_004044416.1,309800.HVO_0507,9.20E-136,488,CRE1,,K01470,,arNOG[11],"0KUBC@eurNOG,0RFFR@halNOG,COG1402@NOG,arCOG04536@arNOG",NA|NA|NA,H,Creatininase
WP_004044101.1,309800.HVO_0835,5.00E-216,755.4,ACAB4,,"K00626,K00632",,arNOG[11],"0KRB2@eurNOG,0RFU0@halNOG,COG0183@NOG,arCOG01278@arNOG",NA|NA|NA,I,thiolase
WP_004044051.1,309800.HVO_0887,1.70E-165,587,PORB,,"K00170,K00175",OORr,arNOG[11],"0KRT8@eurNOG,0RFUQ@halNOG,COG1013@NOG,arCOG01599@arNOG",NA|NA|NA,C,2-oxoglutarate ferredoxin oxidoreductase subunit beta
WP_004043707.1,309800.HVO_1235,6.10E-157,558.5,CRE2,,K01470,,arNOG[11],"0KUBC@eurNOG,0RFDP@halNOG,COG1402@NOG,arCOG04536@arNOG",NA|NA|NA,H,creatinine amidohydrolase (EC 3.5.2.10)
WP_004041089.1,485914.Hmuk_1863,1.30E-42,177.6,,,,,arNOG[11],"0KZ80@eurNOG,0RJAM@halNOG,COG2138@NOG,arCOG04750@arNOG",NA|NA|NA,C,cobalamin cluster protein CbiX 2
WP_004041035.1,797209.ZOD2009_17693,2.30E-83,313.9,,,K01470,,arNOG[11],"COG1402@NOG,arCOG04536@arNOG",NA|NA|NA,H,K01470 creatinine amidohydrolase EC 3.5.2.10
WP_004041011.1,543526.Htur_2403,4.80E-89,332.8,,,K01470,,arNOG[11],"0KUBC@eurNOG,COG1402@NOG,arCOG04536@arNOG",NA|NA|NA,H,creatinine amidohydrolase (EC 3.5.2.10)
WP_004042293.1,309800.HVO_2404,4.80E-213,745.3,GCVT,,K00605,,arNOG[11],"0KSKU@eurNOG,0RFKA@halNOG,COG0404@NOG,arCOG00756@arNOG",NA|NA|NA,E,The glycine cleavage system catalyzes the degradation of glycine (By similarity)
WP_004042292.1,309800.HVO_2403,6.90E-66,255,GCVH,,K02437,,arNOG[11],"0KTWA@eurNOG,0RHDJ@halNOG,COG0509@NOG,arCOG01303@arNOG",NA|NA|NA,E,The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein (By similarity)
WP_013035454.1,309800.HVO_2079,0,1404,GYY_05940,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K07003,,arNOG[11],"0KRZM@eurNOG,0RFP0@halNOG,COG1033@NOG,arCOG02174@arNOG",NA|NA|NA,S,Sterol-sensing domain of SREBP cleavage-activation
WP_004044227.1,309800.HVO_0709,2.50E-133,479.9,TRPG,,"K01658,K13497",ANS,arNOG[11],"0KTJG@eurNOG,0RGSZ@halNOG,COG0512@NOG,arCOG00086@arNOG",NA|NA|NA,E,anthranilate synthase
WP_004044208.1,309800.HVO_0729,3.50E-100,369.4,PPA,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01507,PPA,arNOG[11],"0KSTJ@eurNOG,0RFWU@halNOG,COG0221@NOG,arCOG01711@arNOG",NA|NA|NA,C,pyrophosphate phosphohydrolase
WP_004043676.1,309800.HVO_1263,9.40E-102,374.8,,,K08981,,arNOG[11],"0KZT3@eurNOG,0RI1Z@halNOG,COG3428@NOG,arCOG04619@arNOG",NA|NA|NA,S,Pfam:DUF304
WP_004043675.1,309800.HVO_1264,6.20E-115,418.7,,,K08981,,arNOG[11],"0M11D@eurNOG,0RH8F@halNOG,COG3428@NOG,arCOG04619@arNOG",NA|NA|NA,S,Membrane-flanked domain
WP_004041961.1,309800.HVO_2078,7.10E-151,538.5,,,K08981,,arNOG[11],"0M0JE@eurNOG,0RJ2M@halNOG,COG3428@NOG,arCOG04619@arNOG",NA|NA|NA,S,Pfam:DUF304
WP_004043965.1,309800.HVO_0978,7.30E-69,265,NUOA,,K00330,F4D,arNOG[11],"0KUWH@eurNOG,0RH76@halNOG,COG0838@NOG,arCOG01557@arNOG",NA|NA|NA,C,NADH-ubiquinone plastoquinone oxidoreductase chain 3
WP_004043962.1,309800.HVO_0981,3.40E-187,659.4,NUOH,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K00337,F4D,arNOG[11],"0KRS9@eurNOG,0RFK4@halNOG,COG1005@NOG,arCOG01546@arNOG",NA|NA|NA,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone (By similarity)"
WP_004043961.1,309800.HVO_0982,1.10E-89,334.3,NUOI,,K00338,,arNOG[11],"0KRY3@eurNOG,0RF6W@halNOG,COG1143@NOG,arCOG01543@arNOG",NA|NA|NA,C,"NADH-quinone oxidoreductase, chain i"
WP_004043955.1,309800.HVO_0988,2.40E-271,939.5,NUON,,K00343,F4D,arNOG[11],"0KRW8@eurNOG,0RGH6@halNOG,COG1007@NOG,arCOG01540@arNOG",NA|NA|NA,C,"proton-translocating NADH-quinone oxidoreductase, chain N"
WP_004042710.1,309800.HVO_2614,3.80E-129,466.1,UDP1,,"K00757,K00772",,arNOG[11],"0KV29@eurNOG,0RFNZ@halNOG,COG2820@NOG,arCOG01324@arNOG",NA|NA|NA,F,phosphorylase
WP_004042102.1,309800.HVO_2210,8.60E-35,151,,,,,arNOG[11],"0KUR6@eurNOG,0RI37@halNOG,COG1522@NOG,arCOG01117@arNOG",NA|NA|NA,K,"transcriptional regulator, AsnC family"
